lifetime,max_ch1,max_ch2,max_ch3,ch1_lifetime,ch2_lifetime,ch3_lifetime,ch1_dist,ch2_dist,ch3_dist,md_ch1,md_ch2,md_ch3,track_category,condition,replicate,cell_id
301,187.8680771,491.8183193,63.53292774,301,117,4,12.96846695,12.19140119,12.11145415,0.243901669,0.616361633,1.045437571,4,0,1,0-1
301,155.203311,357.7118131,55.76634001,301,83,4,15.80999998,15.34315634,18.13084203,0.301785411,0.536210295,0.973646946,4,0,1,0-1
301,200.3720719,331.5356866,54.34888576,301,203,3,1.327766061,1.094388489,1.327766061,0.237120793,0.512622096,1.321992652,4,0,1,0-1
301,265.8320057,322.7066325,51.2963947,301,48,3,0.41607184,4.385794385,2.76220526,0.210640017,0.664205748,1.349215183,4,0,1,0-1
301,280.3394579,470.2334974,79.93006017,301,38,6,2.357153237,2.222108869,1.547832682,0.208442619,0.890930915,1.182612271,4,0,1,0-1
301,213.89497,517.7675638,65.06867075,301,102,3,2.4825732,3.174188156,4.904360154,0.198216288,0.856898357,1.821954413,4,0,1,0-1
301,273.7954876,298.7118596,84.14515028,301,37,5,7.391340272,7.956257647,10.62504004,0.185899675,0.747534912,0.963392704,4,0,1,0-1
301,447.1874951,651.091343,50.18015051,301,195,4,2.174177213,2.791716281,4.267579562,0.233297302,0.421516664,1.338044565,4,0,1,0-1
301,382.3127598,668.2112472,75.08891588,301,301,6,5.344992846,5.60980448,4.64067505,0.176335472,0.277342136,1.508032037,4,0,1,0-1
301,481.7817037,589.4752644,48.11003359,301,79,3,2.064582071,1.452500072,2.064582071,0.290034353,0.786328847,1.245044835,4,0,1,0-1
301,229.3205012,838.0547041,84.45357397,301,284,8,2.289835194,2.06308399,2.335149546,0.251795593,0.467861463,1.44510405,4,0,1,0-1
301,128.9231241,421.654587,50.38198413,301,129,3,2.721729552,1.677511106,2.940266427,0.331683469,0.81566617,1.144754252,4,0,1,0-1
301,237.1627854,535.9318587,58.37697391,301,157,3,13.53890834,12.68848011,11.11785062,0.170949369,0.499892219,1.441703106,4,0,1,0-1
301,143.0264239,900.9287283,60.73260789,301,99,5,19.24325174,20.85604827,18.79982842,0.274153983,0.711762869,1.324700676,4,0,1,0-1
301,214.4453731,621.2988439,80.66027969,301,237,17,4.360840608,4.028334408,4.360840608,0.191258834,0.474559514,0.814772416,4,0,1,0-1
301,479.6746327,1456.494239,62.72335639,301,301,4,3.385283448,4.087904082,7.117577346,0.167099056,0.39175903,1.124429609,4,0,1,0-1
