lifetime,max_ch1,max_ch2,max_ch3,ch1_lifetime,ch2_lifetime,ch3_lifetime,ch1_dist,ch2_dist,ch3_dist,md_ch1,md_ch2,md_ch3,track_category,condition,replicate,cell_id
301.0,111.92147184146002,787.368265735597,1242.674750934215,301.0,241.0,289.0,5.938151484649049,6.334812814651987,5.710997524914746,0.34667335119158227,0.48168243745423306,0.19937147981764303,4.0,0,1,0-1
301.0,172.0549597233885,224.65626691095747,44.344074530335014,301.0,81.0,3.0,13.936697126363372,14.635531999982277,12.507729878185648,0.33043858053074443,0.9147283428582349,1.6368281987317115,4.0,0,1,0-1
301.0,138.03733389639282,377.3869610439956,409.6598285884457,301.0,60.0,74.0,15.849563296144865,15.606718457757902,15.558694318819256,0.3333445007453822,0.7244985333446528,0.767081209252557,4.0,0,1,0-1
301.0,97.54235094919049,240.8535612146678,135.1827571927406,301.0,92.0,31.0,13.50820313128281,14.994898812472535,14.215713422972136,0.3535138526025898,0.6418550944244854,1.1950675309161127,4.0,0,1,0-1
301.0,194.5875618984739,488.47203961719305,467.9102032755844,301.0,144.0,73.0,7.359216490637548,5.513262765839323,6.522712262386151,0.2880837455580552,0.7775826041232189,1.015460001255362,4.0,0,1,0-1
301.0,201.7278034167761,932.4816913118007,542.216286829415,301.0,137.0,95.0,21.060096925604284,21.237507579216878,21.856078852179923,0.23601946261904214,0.7881873045286376,0.979910011774286,4.0,0,1,0-1
301.0,188.45873630895383,295.6870097371538,194.41865991312628,301.0,81.0,75.0,24.743264464511046,25.022328362763734,23.637554976232682,0.24143056675198982,0.9582823365696305,1.1424985305220383,4.0,0,1,0-1
301.0,353.04766605017056,438.3893158289691,961.6799625177939,301.0,301.0,68.0,8.000848306931427,7.644606712737606,4.9937236914959335,0.20834701950386497,0.41595853342578964,0.48299134491127993,4.0,0,1,0-1
301.0,187.6516310727586,212.14330109034915,291.79421439980933,301.0,54.0,59.0,13.787507852498717,14.018276780500242,13.787507852498717,0.286672801935816,0.844574571906988,0.8118460516517712,4.0,0,1,0-1
301.0,127.8088011592398,286.4098311024614,86.28363011575212,301.0,96.0,18.0,4.846438393352957,3.7239257807233996,3.6221499629498672,0.3018793774367248,0.6490784043009401,1.5877274970484891,4.0,0,1,0-1
301.0,388.9188738621407,944.6128814689167,187.4085624019438,301.0,301.0,52.0,10.171634996239712,9.990004413713686,11.49709204353614,0.3185657935220234,0.374601811059394,0.5354275712688756,4.0,0,1,0-1
301.0,221.44342880744972,471.0858131175561,363.738704861443,301.0,198.0,111.0,5.764295155929226,4.789911400705502,5.764295155929226,0.258722903401778,0.3858656140319936,0.33610368127829227,4.0,0,1,0-1
301.0,122.78665914149005,459.4759044905004,185.5237959197969,301.0,38.0,18.0,7.235598537031915,6.700833891918976,7.235598537031915,0.3461032735552181,0.5842144785137714,0.422301341041549,4.0,0,1,0-1
301.0,272.3337296063672,453.1813444342124,134.5962240323996,301.0,225.0,52.0,6.655954220932227,5.845498156609315,4.2460801715790755,0.23963943625855938,0.5614322605320397,0.6420491482205626,4.0,0,1,0-1
301.0,198.21989668403882,219.49719105738947,130.64862025947625,301.0,144.0,61.0,19.527806046231387,20.718676112683404,19.61009075354415,0.2454677237715837,0.7899303521583169,1.0930118979481112,4.0,0,1,0-1
301.0,202.55860850840207,295.90289229684964,481.7228853628017,301.0,158.0,67.0,7.429397557138249,7.211705711215497,6.405353350932198,0.22275079400414627,0.8398040421541011,1.0775163879900813,4.0,0,1,0-1
301.0,156.43620285036275,193.81711648590976,472.1480941352426,301.0,38.0,100.0,9.875860955060574,9.762924577559671,9.200239116187133,0.317256314062075,1.020636778576759,1.1539994255659867,4.0,0,1,0-1
301.0,108.21743247107757,209.68612358384993,157.4646533558606,301.0,33.0,21.0,15.685733159029951,15.877153037633562,15.685733159029951,0.3980483345579725,0.9463517695138326,0.9912286154913481,4.0,0,1,0-1
301.0,89.51082691763978,69.86339540996237,91.30316118165145,301.0,12.0,23.0,10.123663385604768,8.256028063080707,10.125767389235076,0.37288758006927336,1.6704502357213922,1.5400462488364643,4.0,0,1,0-1
301.0,198.94823975026122,460.68776025332465,232.0985366517618,301.0,187.0,88.0,3.5674893486353914,3.6236333557142126,4.2687939508952475,0.41644129329685975,0.516696285736487,0.7329164145117141,4.0,0,1,0-1
301.0,69.05382603806929,78.49094311976695,94.38068603398095,301.0,7.0,50.0,8.80904353725178,10.408853415797575,11.80237313175782,0.42882317081954396,1.3948482635657853,1.1748022825174287,4.0,0,1,0-1
301.0,150.917111055898,774.6059912436393,305.0359805323298,301.0,70.0,51.0,9.156224830051006,9.021128903740069,9.156224830051006,0.24583070401199716,0.8126162528246542,0.8184650292898432,4.0,0,1,0-1
301.0,282.03552663282227,852.6859247492858,846.378591942519,301.0,130.0,55.0,7.199440765974108,6.729079355960686,9.850728737540933,0.2652761712380555,0.7348276470908469,1.1001978987891279,4.0,0,1,0-1
301.0,175.5106168677203,443.88570068947774,639.5578554922326,301.0,18.0,39.0,6.477185083853297,6.738872939408299,5.9421992433653035,0.25631987124491246,0.7793066948405474,0.9296848169593941,4.0,0,1,0-1
301.0,208.83222604935898,1461.1591878472377,489.5967106502971,301.0,187.0,57.0,8.161732946580184,9.034512393128685,12.173427225218127,0.25341622278619785,0.7137165163281655,0.4722618514112734,4.0,0,1,0-1
301.0,70.68082158367172,473.5196051746149,114.84554520207219,301.0,301.0,22.0,7.639233996784214,7.338293190215542,7.639233996784214,0.4348664917090608,0.3805772430804104,0.9830976810443937,4.0,0,1,0-1
301.0,184.85105583029411,322.71456342469946,273.4515109770295,301.0,138.0,38.0,8.071345957934053,7.389846509312379,7.990138969306603,0.3567962491564951,0.7413397775003493,0.5224225417519457,4.0,0,1,0-1
301.0,137.05158252454711,295.27076214347045,719.3173695469575,301.0,35.0,19.0,11.002790185254648,11.792968938236536,11.002790185254648,0.3329065165515219,0.9398135415357619,0.5384927605556613,4.0,0,1,0-1
301.0,320.2693674133295,406.53900348114945,406.01531443178004,301.0,187.0,34.0,4.117325225322818,5.657592987389239,5.461132783087784,0.21695386018658222,0.6245825340046063,1.639698941870689,4.0,0,1,0-1
301.0,267.0688730631898,296.8994951514896,258.94525399236977,301.0,75.0,56.0,11.863876293343692,11.86632519914748,12.034990992814086,0.2615758137806613,0.6180109028641061,1.4703946802942918,4.0,0,1,0-1
301.0,189.29386616218503,309.89478450115143,191.89274782064317,301.0,100.0,38.0,17.415074801014086,17.080815303910327,18.59818046871118,0.3403403770526489,0.6144851988929508,0.5430232758950266,4.0,0,1,0-1
301.0,130.23352537464672,747.1461574526783,418.7266086941755,301.0,36.0,42.0,6.284701639599421,5.019315087914191,3.8830375721023636,0.32527187362214977,0.7139422197564324,0.610150727629036,4.0,0,1,0-1
301.0,167.64881679547776,607.7338537308249,833.0707402418968,301.0,136.0,98.0,3.826628293453455,3.956739950221823,3.826628293453455,0.2978306704088533,0.6271576260212253,0.6896335392297029,4.0,0,1,0-1
301.0,175.8571079717587,421.7346093756588,864.0109951636074,301.0,110.0,43.0,8.782255073931848,9.967470244855873,12.072479419229005,0.25890701833853297,0.5199977780209194,1.0677970434265809,4.0,0,1,0-1
301.0,253.08584513225188,559.3301582815047,467.72758615177713,301.0,69.0,81.0,6.868678942118809,6.778750716716163,3.6150573856054797,0.35828176253599586,0.6722973632413081,0.7996733983659526,4.0,0,1,0-1
301.0,198.21436484032316,1009.2762876909976,419.7972937706564,301.0,78.0,23.0,4.778898664847652,5.2174948658750395,6.043705769653987,0.2437315071752218,0.6717433565730068,1.3570264008026476,4.0,0,1,0-1
301.0,264.17543434352274,1019.2910186791605,470.05968332774063,301.0,190.0,41.0,16.749149874397357,15.615395855719871,15.018051488993313,0.25817770827918723,0.524527747693838,1.1816715046763497,4.0,0,1,0-1
