lifetime,max_ch1,max_ch2,max_ch3,ch1_lifetime,ch2_lifetime,ch3_lifetime,ch1_dist,ch2_dist,ch3_dist,md_ch1,md_ch2,md_ch3,track_category,condition,replicate,cell_id
301.0,182.75308167665654,82.34672388188973,98.88759947524886,301.0,5.0,0.0,5.564194202682528,5.930617914776465,5.564194202682528,0.3165603364176283,0.5087089555698896,0.3371958103774335,4.0,0,1,0-1
301.0,259.0544641241602,462.76350006325697,46.37337557661784,301.0,160.0,1.0,11.128855992991651,10.512878146149077,11.128855992991651,0.2725564504228818,0.43425492712729136,0.8525290786421675,4.0,0,1,0-1
301.0,350.8262194769395,447.8291610374529,43.78454401282983,301.0,259.0,1.0,7.447468769428687,6.919997914637171,7.447468769428687,0.2028281477332028,0.43020004954527546,0.5620280661166681,4.0,0,1,0-1
301.0,122.38199150458952,643.656492663794,20.047027653614066,301.0,164.0,0.0,6.462488007631456,6.726082405444332,6.462488007631456,0.39267063200521135,0.436639924749058,0.3975815969622392,4.0,0,1,0-1
301.0,143.31187077639566,269.91793628175185,18.463147417557995,287.0,135.0,0.0,9.39546146217819,11.233445337752427,9.39546146217819,0.3182234618632067,0.9252741237240142,0.371708478297923,4.0,0,1,0-1
301.0,226.29948287593265,225.84623194447929,26.372818578551353,177.0,49.0,0.0,1.7761094460314943,1.5349065214019473,1.7761094460314943,0.3977339297027875,0.9472829364024089,0.70249651465179,4.0,0,1,0-1
301.0,270.68952312449045,234.52293004576134,24.37893486053846,288.0,128.0,0.0,7.886587479250929,9.012078545008503,7.886587479250929,0.2695873797798613,0.682861445696727,0.7291745699474849,4.0,0,1,0-1
301.0,145.7617002360887,340.9204279461216,22.42479652654541,217.0,50.0,0.0,20.30790194196742,20.499041616103792,20.30790194196742,0.3603633725924692,0.42856258894214677,0.5931673429686619,4.0,0,1,0-1
229.0,227.17419641729012,636.6592910308052,378.09809645379096,213.0,191.0,2.0,9.865132387555583,13.058001767100524,11.446547909619422,0.542568836669458,0.4192130104777642,0.5275354267945876,1.0,0,1,0-1
192.0,118.22314288752395,348.7059837846187,28.10218148291016,189.0,83.0,0.0,12.653985995577695,16.970242481349377,14.67814584725053,0.5224979432866936,0.9440687009171479,0.566994264184033,1.0,0,1,0-1
180.0,95.37620610943637,271.66157599114206,28.914278813714514,164.0,75.0,1.0,5.2446680478270045,5.047668061920729,6.501129636652219,0.5332059931805916,0.7252387751703967,0.9900792036746454,1.0,0,1,0-1
174.0,48.435030164886584,141.31660357445517,10.541088464488151,44.0,40.0,0.0,7.29263182784957,7.349365371360685,7.219153737429665,0.9198622771987343,0.8001626895547399,0.8330899902670796,1.0,0,1,0-1
166.0,94.3082119873756,184.21441277144032,74.88043313854092,145.0,22.0,0.0,23.617266392437685,25.724265399581235,19.06727781331259,0.4920600415762601,0.7715168732957639,0.7123958886535449,1.0,0,1,0-1
163.0,81.54597273298093,648.1290843882554,1.0889583151948332,137.0,58.0,0.0,22.26624279184456,20.341654438718564,22.22595200932736,0.5658260058342766,0.57162867378367,0.6141686229777932,1.0,0,1,0-1
162.0,125.02756545788922,380.0828683924424,3.0631405006387666,126.0,127.0,0.0,1.3921864073983667,3.3187865369137883,2.906121138069992,0.6549657110434928,0.44199287625674094,0.5749299095456827,1.0,0,1,0-1
157.0,153.36076387390486,282.97192503573433,33.574267513699205,157.0,32.0,0.0,9.008438483036478,12.724556953942457,9.540641432743696,0.5319590283175444,1.0800428601128278,0.9314236652471853,1.0,0,1,0-1
156.0,103.3492926782705,241.20509843651908,42.42527929992434,156.0,28.0,2.0,11.79817355653185,9.848816639514228,12.286359920306145,0.480559743276749,0.617215705516014,0.8843075192131866,1.0,0,1,0-1
150.0,59.833354497955185,336.35879077275945,66.71730916515729,118.0,99.0,1.0,8.419768598315413,8.959262501648077,5.982076181205967,0.5821866276052554,0.6153784851504499,0.5879203492715083,1.0,0,1,0-1
143.0,67.92511259662786,185.61848268171386,10.191095154007243,53.0,25.0,0.0,4.615464105572042,6.470857999886529,2.751379318526833,0.8140685251680543,1.0199341791421954,0.6274742858500876,1.0,0,1,0-1
143.0,114.34716879992838,378.01132245002225,21.628797826736772,82.0,30.0,0.0,3.3667121433391487,3.491861351485898,2.15260813306812,0.5840607096459788,0.6328233120290468,0.6967165491473798,1.0,0,1,0-1
141.0,75.13259268636756,287.9570092707927,-28.628397490007654,141.0,12.0,0.0,7.904205171454818,10.535228985386748,9.752281922880655,0.4531814362633713,0.7818979881642367,0.5310876130995722,1.0,0,1,0-1
140.0,89.48555326034283,198.02441539762359,24.798769749622203,108.0,46.0,0.0,7.212587228838447,4.675241039872417,9.837176235828846,0.5710516146977898,0.9236795095336874,0.9117034901609676,1.0,0,1,0-1
136.0,146.07373714862143,300.7557794060617,272.8237233580222,136.0,47.0,2.0,8.042873785654443,9.883533799746397,8.167094724157202,0.5079447936123342,0.8664244366841036,1.1671973996524847,1.0,0,1,0-1
134.0,82.07584272251395,206.49159607990882,30.060666550981523,134.0,41.0,1.0,9.987215509990866,12.236241252531325,10.570302564792025,0.43514884862931386,0.7882681892463202,0.8326946762380282,1.0,0,1,0-1
133.0,100.69993491085368,248.9304490506566,31.78678651783062,112.0,24.0,0.0,5.001213251762764,5.2681836117493015,5.498263152997829,0.6963814912426352,0.8990471466386252,0.6853575569279228,1.0,0,1,0-1
124.0,91.75035303261322,221.02007626148006,54.349654028505945,90.0,28.0,1.0,40.88822630289946,41.77215825367071,40.109623393297205,0.6648560427878024,1.147578059582661,0.5965090175831197,1.0,0,1,0-1
123.0,91.38639502631143,282.6059530765806,17.535562959781984,98.0,87.0,1.0,10.861388562752694,9.25659119465352,8.170767200771236,0.7144242764054749,0.8264064546449418,0.5803821169891576,1.0,0,1,0-1
115.0,85.53989420819524,291.13084758926954,69.75447561278688,37.0,52.0,2.0,5.7513834332247935,6.866972492106415,9.346342638184536,0.6289044400323219,0.41383213651056594,0.9697528973958237,1.0,0,1,0-1
109.0,59.14964439644406,245.51939293099537,126.76010152992018,104.0,27.0,0.0,8.532799773285626,10.807541657501588,10.140372415687697,0.5475888480701231,0.9937253248161105,0.48016755823299295,1.0,0,1,0-1
107.0,86.65767485836655,192.8549117791369,36.26424749441812,84.0,46.0,1.0,10.516830065738013,8.119398231518904,10.29703930714376,0.5750044806257656,1.0790736665771055,0.8965136170204426,1.0,0,1,0-1
107.0,66.45677926589507,235.7843460203813,24.717661179866685,105.0,32.0,0.0,3.4224387502618816,3.961335506767209,4.500701610080467,0.5968115341250898,0.6844727548726656,1.455339345065866,1.0,0,1,0-1
103.0,47.30270226658303,169.8307214107416,58.882294317667835,56.0,37.0,2.0,11.50649240115851,11.897099085391242,11.228613777487398,0.6224573478888085,0.9650152236366561,1.1039979652088516,1.0,0,1,0-1
100.0,94.08073595914027,295.2634324740245,25.152675451231215,83.0,74.0,0.0,6.6655753840999346,8.164748352940997,7.2267195674332525,0.6855589015844769,0.860549640115534,1.0451483739456249,1.0,0,1,0-1
98.0,165.85692734619317,495.64833687152344,79.48148232234337,54.0,51.0,1.0,7.200893854008069,8.622302424201065,6.246191209571272,0.8699840957779378,0.9208180166090979,0.7590275577982049,1.0,0,1,0-1
96.0,63.25021724717331,297.54352108286423,139.39476428108588,86.0,62.0,0.0,10.160852943918337,9.115006124228028,9.981416796367721,0.6240120804897956,0.7645728118464181,0.5127119680573197,1.0,0,1,0-1
95.0,54.58108520271256,316.45922066944615,31.242308500316184,83.0,92.0,0.0,7.605032729794331,6.817117837476388,1.4579598602734232,0.5835884428692155,0.36992955924207177,0.5970110983988101,1.0,0,1,0-1
90.0,54.01035940887478,283.61134765219276,122.62603680243222,27.0,29.0,2.0,14.42507341958858,14.963188317914195,15.291669226388647,1.0070512932471414,0.8212201901760238,0.9402315629074771,1.0,0,1,0-1
89.0,90.30851088254461,149.67853263114094,34.29597505206248,75.0,11.0,0.0,7.553117434780557,6.901991672073116,8.01328954235914,1.0818418766741258,1.0425665043716215,1.1912944009630109,1.0,0,1,0-1
88.0,73.823978674585,154.85160799866478,98.23421536151614,81.0,12.0,1.0,17.367560303684776,16.28906081715118,14.153266033548142,0.5940379648005758,1.2930604452106238,0.819228176827724,1.0,0,1,0-1
88.0,58.31271054192909,335.4256029762426,31.275763497905018,59.0,31.0,0.0,14.855179788948499,11.252226271557186,13.719824165772508,0.7176419311283777,0.7664776417404531,0.627660464721322,1.0,0,1,0-1
82.0,52.5083911501278,108.86182145618073,20.492307064954524,64.0,12.0,0.0,2.0814980946215806,3.5075471692902376,1.0883015859907323,0.8093418838310396,0.817593434540281,1.0119521840708618,1.0,0,1,0-1
